identifier,uploadLimit,authorizedFormOfName,contactPerson,streetAddress,telephone,email,fax,website,geoculturalContext,internalStructures,collectingPolicies,holdings,findingAids,openingTimes,accessConditions,disabledAccess,researchServices,reproductionServices,publicFacilities,maintenanceNote,descInstitutionIdentifier,descRevisionHistory,descSources,culture
daa/485,0,Brigidine Sisters Provincial Archives,The Archivist,"216 Maroubra Road, Maroubra 2035

Postal address:
As above",(02) 9349-1239,brigarch@bigpond.com,(02) 9349-5994,,,Officer in charge: The Archivist,Material related to Brigidine sisters and their works.,,,"Open by appointment, one week's notice required. General reference assistance given. Photocopying facilities available.",Permission of Provincial or Archivist required.,,,,,This entry was imported from the legacy Directory of Australian Archives on Jun 13 2017,,,,
daa/223,0,Brisbane Boys' College,Development Officer,"Kensington Terrace, Toowong 4066

Postal address:
As above",(07) 3377-3500,bbc@mailbox.uq.oz.au,(07) 3371-2679,,,Officer in charge: Development Officer,To acquire records from past students of the college. (99% in-house).,,,"Open by appointment; closed public and school holidays. Reference assistance available in person. Copying services available for books, journals and photographs.",Proof of identity required.,,,,,This entry was imported from the legacy Directory of Australian Archives on Jun 13 2017,,,,
daa/224,0,Brisbane City Council Archives,City Archivist,"19 Wandoo Street, Fortitude Valley, 4006

Postal address:
GPO Box 1434, Brisbane 4001",(07) 3403-0834 / (07) 3403-0832,carch@brisbane.qld.gov.au,(07) 3403-0768,http://www.brisbane.qld.gov.au/,,Officer in charge: City Archivist,Permanent records of Brisbane City Council since 1925.,"Brisbane City Council: Minutes 1859- (20m); Plans 1860s-1930s. Brisbane City Council and previous Councils: Photographs 1890s-(5.5m). Aerial Photographs, building registers, land use survey maps

Quantity: 12,450 m (ACA Australian Archival Statistics, 1998)",,"Open Monday, Wednesday and Friday 9am-2pm by appointment only.",Intending researchers should make an appointment with the Archivist to discuss their research needs. Access fees are payable. Bona fide research for non profit purposes exempt from fees.,,,,,This entry was imported from the legacy Directory of Australian Archives on Jun 13 2017,,,,
daa/225,0,Brisbane Grammar School,Archivist,"Gregory Terrace, Brisbane 4000

Postal address:
As above",(07) 3834-5200 / 3834-5267,,(07) 3834-5202,,,Officer in charge: Archivist,"Material relating to the history, development and educational philosophy of the school. Records of students and past students with their examination results. Staff records. Writings by members of the School Community. Memorabilia.",Quantity: 50m (90% in-house).,,"Open Mon, Wed and Fri 9:30am-3:30pm or by appointment during school holidays; closed public and school holidays. General reference assistance available. Limited copying services available.",Advance notice of intention to visit is appreciated.,,,,,This entry was imported from the legacy Directory of Australian Archives on Jun 13 2017,,,,
daa/87,0,Broadway Museum,Mr. Colin Kanaley (the Curator),"Broadway Street, Junee 2663

Postal address:
PO Box 151, Junee 2663",(02) 6924-1832,costukan@optusnet.com.au,,,,"Officer in charge: Honorary Curator

Note: The Junee and District Historical Society formerly operated the Museum in Peel Street, Junee.",Local area Junee and district.,"Some histories of prominent local families and business people, their activities and pursuits. Histories of a prosperous rural region and a rural industrial town.",,"Open from Wednesday to Sunday 10am—4pm or other times by appointment. Open public holidays except Good Friday and Christmas Day. General reference assistance available from several of the volunteers. All assistance possible from a strictly amateur staff regarding photos, books and other documentation",Access to records granted and may be supervised.,,,,,This entry was imported from the legacy Directory of Australian Archives on Jun 13 2017,,,,
daa/52,0,"Broken Hill City Library, Outback Archives",Local Studies Officer,"Blende Street, Broken Hill 2880

Postal address:
As above",(08) 8080-2229,,(08) 8087-8055,http://www.brokenhill.nsw.gov.au/,,Officer in charge: City Librarian,"Aim at developing a comprehensive collection of material relating to the history, geography, geology, economy and culture of the City of Broken Hill and Far Western New South Wales Region. Materials include:photographs; audiovisuals; manuscripts; newspapers; and maps.",,Entries in National Library of Australia Guide to Collections of Manuscripts relating to Australia.,"Open Mon, Tues, Thur, Fri 10am-1pm and 2-5pm; Wed 10am-1pm; Sat 10am-1pm. General reference assistance available. General copying services available. Paid referral to researchers is available. Introductory brochure available.",One day should be allowed for approval of application. Advance notice of visit is advisable. Closed period as specified by State Archives of New South Wales applies to most records. Access to records not normally available for research can be gained by authorisation from State Archives of New South Wales.,,,,,This entry was imported from the legacy Directory of Australian Archives on Jun 13 2017,,,,
daa/341,0,Broken Hill Proprietary Co Ltd,Company Archivist and Recordkeeping Services Manager,"6-8 Central Boulevard, Fishermans Bend 3207

Postal address:
GPO Box 86A, Melbourne 3001",(03) 9609-2555,,(03) 9609-2550,,,Officer in charge: Company Archivist and Recordkeeping Services Manager,"Records of the BHP Company Ltd. The collection centres around records which document the development and conduct of company policy, and the key operations of BHP in the minerals, petroleum and steel industries.","Photographs 1885-ct Minutes of the Board of Directors 1885-1985 Records of Managing Director/CEO/Chairman 1925-ct Operations Reports for Works & Branches 1915-1987)

Quantity: 2,500 m (ASA 1999 Conference, 1999)",,"Open Mon-Fri 9am-4:30pm; closed Sat,Sun and public holidays. General reference assistance available. Limited copying services charged at an hourly rate. Arrangements can be made for reproduction of photographs, films and videos at commercial rates plus handling fees.",Discretionary and will depend on available resources. One week's advance written notice of visit required and should include details and scope of the research. Closed period of at least 30 years applies to most records. There is a requirement to sign an access agreement. Appropriate citations are required in all cases.,,,,,This entry was imported from the legacy Directory of Australian Archives on Jun 13 2017,,,,
daa/408,0,Brookton and Districts Historical Society Inc,President,"Old Police Station Museum, Robinson Road, Brookton 6306

Postal address:
PO Box 125, Brookton 6306",(08) 9646 4117,,(08) 9646 4119,,,Officer in charge: President,"All archives must be of local origin/interest. The collection focuses on minute books and papers of local organisations, brief notes on some individuals and families, photographs of a wide range of local places, people and activities - work and social.",Community Organisations: Minutes 1913-1990.,,"Visitors by request and arrangement, preferrably with advance notice. Our volunteers will assist. Requests for information by mail or email are welcomed. A flat fee of $16.50 applies for all access to our collection.",One week's advance notice and subject parameters required. Proof of identity required.,,,,,This entry was imported from the legacy Directory of Australian Archives on Jun 13 2017,,,,
daa/409,0,Broome Historical Society Inc,President,"Corner of Saville and Hamersley Streets, Broome 6725

Postal address:
PO Box 559, Broome 6725",(08) 9192-2075,,,,,Officer in charge: President,"The history of Broome including its pearling industry, the lives of the people who make up its multicultural community and its significance as a bombed town during World War II.",Local Pearling Businesses: Ledger and employment records 1890's-1950's. Sub Collector of Customs Broome: Records of imported pearling crews 1910-1975. The West Australian: News articles on Broome 1950's-1991. Fisheries Department WA: Register of Pearling Divers and Crew 1912-1940's. Jean Haynes (nee Kennedy): Family Albums and Mementoes 1905-1987.,"Reference guide to Broome Pearling Masters with listing of their luggers 1913-1941, 1947-1970. Reference guide to Lugger Records for Broome 1913-1941, 1947-1970.","Open 1 June to 31 October Mon-Fri 10am-4pm; 1 November to 31 May 10am-1pm 7 days a week; open all Easter; closed 23 December - 4 January. General reference assistance available. Copying services available for books, journals, original records to A3, photographs, newspapers, maps and plans.",,,,,,This entry was imported from the legacy Directory of Australian Archives on Jun 13 2017,,,,
daa/552,0,Bunbury Cathedral Grammar School Archives,Archivist,"5 Allen Road, Gelorup, Western Australia

Postal address:
PO Box 1198, BUNBURY, Western Australia, 6231",08 9722 6000,margaret.paterson@bcgs.wa.edu.au,08 9722 6190,www.bcgs.wa.edu.au/Our+School+Container/Archives/default.aspx,,Officer in charge: Archivist,,,,"Open: Monday – Wednesday 8.30am – 4.30pm and Thursday 8.30am – 2.00pm, by appointment only. Closed: Fridays.



 


Copying and scanning available services by arrangement , to A3 size.",Requests for access to restricted materials may be made through the Archivist to the Head of the School.,,,,,This entry was imported from the legacy Directory of Australian Archives on Jun 13 2017,,,,
daa/53,0,Bundanoon History Group Inc,The Secretary,"The Old Goods Shed, Railway Avenue, Bundanoon NSW 2578

Postal address:
PO Box 180, Bundanoon 2578",,,,,,Officer in charge: Archivist,Bundanoon past & present.,Photographs 1860-,,"Open first & third Sunday of each month, 10am-3pm and by appointment.  Reference, research & copying services available.",,,,,,This entry was imported from the legacy Directory of Australian Archives on Jun 13 2017,,,,
